,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min
22,2020-01-23 05:00:00+00:00,73.0,31.699553,33.6983,29.5583,0.082677156,0.0,0.57874006,5.9690604,10.9613,80.717995,29.57705,31.5383,28.3883,91.937675,96.78719,81.546814,984.71606,987.041,981.93744
23,2020-01-24 05:00:00+00:00,71.0,30.540802,33.2483,28.6583,0.01968504,0.003937008,0.13779527,6.949117,12.974601,354.45383,28.27955,29.5583,27.2183,91.34278,97.46851,82.70495,985.3582,986.93243,983.73846
24,2020-01-25 05:00:00+00:00,71.0,27.7583,32.5283,17.9483,0.003937008,0.0,0.027559055,8.081115,16.330101,315.98666,24.544548,28.0283,16.148298,87.733406,92.52026,76.2002,983.178,984.1021,982.6468
25,2020-01-26 05:00:00+00:00,3.0,21.135801,27.8483,13.5383,0.0,0.0,0.0,7.063396,8.948,284.9696,18.098299,22.358301,12.7283,88.28668,96.62385,74.57351,982.58844,983.4303,981.6434
26,2020-01-27 05:00:00+00:00,3.0,22.425798,27.938301,16.778301,0.0,0.0,0.0,5.0020843,9.1717,325.6789,18.97205,22.5383,14.7083,86.563934,91.56312,76.90264,986.3132,988.7248,983.0311
27,2020-01-28 05:00:00+00:00,3.0,17.760801,21.7283,15.248299,0.0,0.0,0.0,5.7032533,9.395399,352.44373,13.208298,17.858301,10.838299,82.4981,91.034615,68.319275,989.6618,990.5736,988.73004
28,2020-01-29 05:00:00+00:00,3.0,16.59455,24.1583,10.5683,0.0,0.0,0.0,6.3034196,7.6058,95.89346,11.29955,13.8083,7.9582996,80.26111,90.52741,58.377148,991.33154,992.5259,990.5506
29,2020-01-30 05:00:00+00:00,3.0,18.934551,26.7683,9.848299,0.0,0.0,0.0,5.9058495,11.4087,153.71448,15.435802,22.5383,7.7783012,86.18745,91.51554,77.89474,988.98004,990.9929,987.23334
30,2020-01-31 05:00:00+00:00,73.0,28.8908,32.7983,25.2383,0.11023621,0.0,0.7992126,6.4563713,11.4087,158.41127,26.36705,29.1083,22.9883,90.24023,96.0412,83.90372,985.7214,986.89484,983.5155
31,2020-02-01 05:00:00+00:00,3.0,30.589548,36.2183,20.7383,0.0,0.0,0.0,9.333948,16.7775,227.31113,26.400803,30.0983,19.1183,84.83333,95.34221,66.02455,976.90594,983.5332,966.86536
32,2020-02-02 05:00:00+00:00,3.0,38.0033,43.2383,26.588299,0.0,0.0,0.0,13.608978,24.607,280.13504,30.874552,34.3283,24.5183,75.83042,91.76763,63.81649,969.66364,977.6403,964.3246
33,2020-02-03 05:00:00+00:00,3.0,24.514551,30.1883,17.3183,0.0,0.0,0.0,9.966581,18.790798,340.824,19.125803,24.7883,11.648298,80.24097,93.3873,65.10391,981.8249,987.5166,978.63354
34,2020-02-04 05:00:00+00:00,3.0,11.970799,20.108301,3.008297,0.0,0.0,0.0,9.048105,17.0012,334.02786,4.9545493,10.4783,-0.32170105,73.50907,85.62915,57.702183,992.8057,996.1471,988.24005
35,2020-02-05 05:00:00+00:00,3.0,11.318299,28.1183,-2.6617012,0.0,0.0,0.0,8.518242,13.869399,207.41563,4.7857995,15.698299,-5.7217026,75.93444,88.44966,55.123558,987.0734,992.58856,979.8786
36,2020-02-06 05:00:00+00:00,3.0,15.780799,30.0083,3.4582977,0.0,0.0,0.0,8.204027,12.974601,172.1595,8.089549,17.1383,-1.7616997,72.41583,84.53915,52.070183,974.5555,979.2214,972.00165
37,2020-02-07 05:00:00+00:00,3.0,19.320799,26.588299,11.2883,0.0,0.0,0.0,7.3379054,14.5405,335.12747,14.622051,19.3883,8.588299,81.96898,88.92621,67.09575,977.77106,984.34015,973.2563
38,2020-02-08 05:00:00+00:00,51.0,10.215798,19.4783,0.84830093,0.003937008,0.003937008,0.0,7.6189475,12.5272,221.40956,3.44705,14.9783,-1.8516998,75.452545,92.68519,43.704224,986.76154,988.44086,984.5868
39,2020-02-09 05:00:00+00:00,75.0,14.8282995,26.1383,3.7282982,0.25984251,0.0,1.8464566,8.23143,15.4353,10.433282,10.0658,17.498299,-0.4117012,81.35364,87.43786,67.92464,987.1279,988.1623,986.00635
40,2020-02-10 05:00:00+00:00,3.0,13.684551,27.938301,-1.8516998,0.0,0.0,0.0,10.14326,18.5671,220.60117,9.495799,19.5683,-2.3917007,84.23605,97.89593,63.96281,986.8671,987.977,985.01276
41,2020-02-11 05:00:00+00:00,71.0,21.544548,27.1283,17.6783,0.003937008,0.0,0.027559055,10.798016,20.580399,257.72168,16.07705,17.498299,14.258299,79.63487,89.33729,63.757694,986.55597,988.6965,982.3153
42,2020-02-12 05:00:00+00:00,71.0,21.893297,30.3683,2.018301,0.031496063,0.0,0.22047244,15.246102,28.409899,307.322,14.374549,25.3283,-6.1716995,72.471214,81.304436,61.38309,980.6245,989.4175,975.3141
43,2020-02-13 05:00:00+00:00,0.0,-7.9229507,-0.23169708,-15.891701,0.0,0.0,0.0,12.285184,23.9359,317.12534,-16.5967,-8.331699,-21.021706,65.59882,80.09733,49.335724,996.1221,998.7468,990.2923
44,2020-02-14 05:00:00+00:00,3.0,-3.550452,14.0783,-21.651695,0.0,0.0,0.0,13.440628,25.949202,172.8163,-11.361701,5.978298,-25.611702,69.66859,82.35095,52.688293,993.17694,998.64606,984.68054
45,2020-02-15 05:00:00+00:00,3.0,24.9158,36.2183,15.428301,0.0,0.0,0.0,12.535187,22.8174,231.1669,18.16205,26.4083,7.2383003,75.402626,87.066826,63.603386,981.272,985.91473,978.6952
46,2020-02-16 05:00:00+00:00,3.0,15.720799,22.6283,5.438299,0.0,0.0,0.0,7.8135056,12.3035,39.530857,8.7345495,17.498299,3.1882992,74.903404,93.67064,52.35028,987.54254,989.94037,986.09924
47,2020-02-17 05:00:00+00:00,75.0,27.17705,36.9383,18.038301,0.21653542,0.0118110245,1.4330708,11.625945,21.2515,112.29368,22.425804,31.5383,11.918301,82.32372,94.65804,71.40682,981.7807,985.4388,979.13873
48,2020-02-18 05:00:00+00:00,2.0,16.707052,25.688301,5.6183014,0.0,0.0,0.0,12.015418,22.8174,307.8082,9.458299,19.9283,-0.50170135,73.24726,87.00318,54.914394,992.8599,1001.27655,984.6996
49,2020-02-19 05:00:00+00:00,3.0,0.76954955,11.018299,-7.9717026,0.0,0.0,0.0,8.849589,13.1983,303.94363,-6.8767,-1.8516998,-12.111702,70.68801,82.76594,50.591698,1005.6501,1008.0266,1001.9427
50,2020-02-20 05:00:00+00:00,0.0,-1.3792009,11.018299,-13.2817,0.0,0.0,0.0,8.87218,13.869399,252.40477,-8.86795,0.03829956,-16.881699,71.46898,85.47606,49.573822,1007.3105,1010.38715,1002.056
